date,name,grade
1985-04-01,Nidoran,51
1985-04-01,Shellder,29
1985-04-01,Golem,87
1985-04-01,Kangaskhan,20
1985-04-01,Persian,81
1985-04-01,Snorlax,1
1985-04-01,Magikarp,43
1985-04-01,Moltres,77
1985-04-01,Ivysaur,65
2009-10-05,Dragonair,75
2009-10-05,Nidoran,99
2009-10-05,Shellder,16
2009-10-05,Golem,34
2009-10-05,Kangaskhan,20
2009-10-05,Persian,57
2009-10-05,Snorlax,25
2009-10-05,Magikarp,0
2009-10-05,Moltres,91
2009-10-05,Ivysaur,37
2011-01-13,Dragonair,33
2011-01-13,Nidoran,76
2011-01-13,Shellder,47
2011-01-13,Golem,53
2011-01-13,Kangaskhan,25
2011-01-13,Persian,63
2011-01-13,Snorlax,20
2011-01-13,Magikarp,48
2011-01-13,Moltres,2
2011-01-13,Ivysaur,87
1979-08-18,Dragonair,43
1979-08-18,Nidoran,85
1979-08-18,Shellder,52
1979-08-18,Golem,2
1979-08-18,Kangaskhan,76
1979-08-18,Persian,21
1979-08-18,Snorlax,87
1979-08-18,Magikarp,17
1979-08-18,Moltres,49
1979-08-18,Ivysaur,94
1986-08-19,Dragonair,43
1986-08-19,Nidoran,57
1986-08-19,Shellder,15
1986-08-19,Golem,94
1986-08-19,Kangaskhan,45
1986-08-19,Persian,51
1986-08-19,Snorlax,36
1986-08-19,Magikarp,47
1986-08-19,Moltres,80
1986-08-19,Ivysaur,90
